region,downloadSpeed_mbps,uploadSpeed_mbps,latency_ms,tests,Unknown,In definitive planning,In executive planning,Scheduled,Being implemented,In progress,Being tested,Done
Abruzzo,134.65056380301735,76.24495155138058,20.841241104469116,87825,108,0,4,23,18,4,5,138
Basilicata,128.6797691905011,65.26883443582545,26.52124875077333,21013,0,0,0,28,5,14,34,47
Calabria,121.9769895927996,56.51462115798777,26.5955756949545,80329,138,1,37,24,16,5,6,165
Campania,131.76729712588494,65.5624996359901,17.715018200495766,447790,6,4,78,97,45,60,103,156
Emilia-Romagna,141.2485332970206,70.10814024667776,19.587874288357796,268042,9,0,9,98,40,30,50,94
Friuli-Venezia Giulia,126.5036023597414,61.86797692399369,21.827950421595208,67126,10,0,1,34,19,7,3,138
Lazio,149.69642540993908,78.82001369621455,15.892715174640337,533067,8,2,43,41,67,23,13,175
Liguria,144.5171471812731,73.63700595690081,17.201958576628,76382,2,0,8,33,100,23,14,43
Lombardia,139.72506641444315,76.09097807720153,13.73205642968453,719375,31,4,285,365,147,95,116,455
Marche,112.33455209075683,53.081610158875186,24.694979950256332,89550,4,0,4,15,23,42,23,115
Molise,143.14538286609408,77.16140587695135,22.6746610489926,18513,0,0,4,4,15,6,13,90
Piemonte,142.4172201122958,72.59472601029546,18.502974541373398,271219,17,0,80,87,294,122,123,417
Puglia,142.9170802408,69.8649693463034,20.724943756849438,192280,30,0,38,5,20,10,40,115
Sardegna,131.8085854670891,72.23609810614381,27.332379276498514,77604,157,0,7,63,18,7,11,92
Sicilia,151.63176758148325,74.94213365794688,27.042089967627614,270902,1,0,36,71,14,20,5,244
Toscana,109.84048605753163,51.718660142747595,23.640964234452113,254295,16,1,13,58,65,10,20,90
Trentino-Alto Adige/Südtirol,99.8659336589105,51.01336671699647,18.32265290581304,63837,142,0,5,1,33,14,28,58
Umbria,120.49518713199704,62.211912044311134,26.72284911679284,63009,0,0,2,14,5,3,5,61
Valle d'Aosta/Vallée d'Aoste,78.94112996992982,33.24570486691169,24.82303151798641,8979,8,0,1,5,23,6,7,20
Veneto,116.94881397337161,59.09956052081974,19.542837096984726,306440,12,0,33,125,92,34,42,224
